OBJECTID,StructID,StudyCity,Occupancy,OccupancyClass,Cost,ContentCost,NumStories,Area,FoundationType,FirstFloorHt,BuildingType,Dept_in_Struc,BldgDmgPct,ContDmgPct,BldgLossUSD,ContentLossUSD,InventoryLossUSD,Total_Loss,Community,PageName,Depth_Grid,Scenario_Frequency,InvDmgPct,InventoryCostUSD,GridName
92,17040480110102,Cass,1,RES1,132828,66414,1,1296,2,9.21,1,-0.92875,3.7125,4.855,4930,3220,0,8150,Cass County,Cass County 2 - ACE 0.2%,8.28125,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
93,17040480110201,Cass,2,COM4,21420,21420,1,1377,5,2.02,1,3.6675,26.005001,40.34,5570,8640,0,14210,Cass County,Cass County 2 - ACE 0.2%,5.6875,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
94,17040460070201,Cass,1,RES1,49666,24833,2,2463,4,8.85,4,3.096258,29.481291,29.385033,14640,7300,0,21940,Cass County,Cass County 3 - ACE 0.2%,11.946259,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
95,17040460070202,Cass,1,RES1,32607,16304,1,1617,4,10.3,4,2.021258,39.148808,22.063774,12760,3600,0,16360,Cass County,Cass County 3 - ACE 0.2%,12.321259,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
96,17040450080001,Cass,1,RES1,750,375,1,2102,7,0.44,1,12.208713,77.417427,80,580,300,0,880,Cass County,Cass County 2 - ACE 0.2%,12.648712,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
97,1252219300003000000,Mason,1,RES1,97059,48529.5,1,3414,4,3.01,1,-2.409628,8.265213,6.494096,8020,3150,0,11170,Mason County,Mason County 10 - ACE 0.2%,0.600372,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
98,1252124100001000000,Mason,1,RES1,33381,16690.5,1,2151,4,2.97,1,-1.244994,17.77503,12.510012,5930,2090,0,8020,Mason County,Mason County 10 - ACE 0.2%,0.600006,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
99,1252124100001000000,Mason,1,RES1,12896,6448,1,831,4,4.69,1,-0.808744,20.338793,13.573769,2620,880,0,3500,Mason County,Mason County 10 - ACE 0.2%,3.881256,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
100,1252124100001000000,Mason,1,RES1,47721,23860.5,1,3075,4,3.24,1,,0,0,0,0,0,0,Mason County,Mason County 10 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
101,1252218300001000000,Mason,1,RES1,121362,60681,1,3719,4,3.63,1,0.351262,28.107573,17.053787,34110,10350,0,44460,Mason County,Mason County 10 - ACE 0.2%,3.981262,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
102,1252113100001000000,Mason,1,RES2,38088,19044,1,1038,5,3.4,1,,0,0,0,0,0,0,Mason County,Mason County 10 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
103,169150410000901,Schuyler,1,RES2,441,220,1,741,5,2.04,5,2.468759,67.687584,56.03138,300,120,0,420,Schuyler County,Schuyler County 3 - ACE 0.2%,4.508759,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
104,169150410000605,Schuyler,4,AGR1,2760,1380,1,319,7,-2.65,2,,0,0,0,0,0,0,Schuyler County,Schuyler County 3 - ACE 0.2%,,ACE 0.2,0,3777,DEPTH_ACE02_ILRIVER
105,169150410000603,Schuyler,4,AGR1,46219,23109,1,5342,7,-2.29,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 3 - ACE 0.2%,,ACE 0.2,0,63249,DEPTH_ACE02_ILRIVER
106,169150410000601,Schuyler,1,RES1,9965,4982,1,1157,4,3.11,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 3 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
